	word	anim	inan	concr	abstr
0	angelfish_NOUN	0.5332826375961304	0.4129684567451477	0.5241249799728394	0.22506585717201236
1	antelope_NOUN	0.6032055616378784	0.34316521883010864	0.5735623836517334	0.1703299880027771
2	apple_NOUN	0.4741132259368897	0.6008191108703613	0.5701558589935303	0.19646979868412015
3	armchair_NOUN	0.2458949089050293	0.3891227841377258	0.3526853919029236	0.23148417472839355
4	axe_NOUN	0.24210309982299805	0.2230118960142136	0.23414595425128934	0.16848738491535187
5	baby_NOUN	0.4443833827972412	0.35441985726356506	0.4056647717952728	0.17563603818416595
6	bagel_NOUN	0.3648344874382019	0.4515486657619476	0.4272266924381256	0.1810183674097061
7	ball_NOUN	0.24798282980918884	0.3009061813354492	0.2897952198982239	0.16830867528915405
8	banana_NOUN	0.4099918305873871	0.5239558219909668	0.4716538488864898	0.1686220020055771
9	bandanna_NOUN	0.2887581586837769	0.4437700212001801	0.3708973228931427	0.21440477669239044
10	barracuda_NOUN	0.4905226826667786	0.3295198678970337	0.4551675915718079	0.1848900616168976
11	basket_NOUN	0.2331991493701935	0.300805538892746	0.2945623099803925	0.1734645962715149
12	bat_NOUN	0.3368023931980133	0.2610412240028381	0.30741292238235474	0.14239485561847687
13	bathrobe_NOUN	0.3342716097831726	0.5151968002319336	0.4524668753147125	0.2109381258487701
14	bean_NOUN	0.4964078068733215	0.6350788474082947	0.6128174066543579	0.1926434636116028
15	bed_NOUN	0.3065817654132843	0.5003114342689514	0.4106805324554443	0.1602773815393448
16	bedpan_NOUN	0.2818222343921661	0.38000649213790894	0.3422191143035889	0.2311752736568451
17	bellybutton_NOUN	0.2920480370521545	0.32346105575561523	0.2980659306049347	0.2402866631746292
18	bike_NOUN	0.3222733438014984	0.37171998620033264	0.33640390634536743	0.1606942117214203
19	binoculars_NOUN	0.3069780170917511	0.37511971592903137	0.3316119313240051	0.167592391371727
20	bird_NOUN	0.6505006551742554	0.3759991228580475	0.6212755441665649	0.17639273405075073
21	blackbird_NOUN	0.4504115581512451	0.30754393339157104	0.40963244438171387	0.199936717748642
22	blanket_NOUN	0.2635192275047302	0.4114680290222168	0.3786116540431976	0.18735717236995694
23	blender_NOUN	0.3539872765541077	0.4493895173072815	0.4412189424037933	0.2112204134464264
24	bug_NOUN	0.4543142914772034	0.2728419303894043	0.3764382004737854	0.21102502942085266
25	burrito_NOUN	0.4093960225582123	0.4510224759578705	0.4647796154022217	0.19344237446784973
26	cactus_NOUN	0.4588731229305267	0.4788564741611481	0.4812082350254059	0.22522643208503726
27	cage_NOUN	0.40844202041625977	0.39911916851997375	0.3896748125553131	0.19471098482608795
28	camcorder_NOUN	0.2689458131790161	0.3839006125926971	0.3095305562019348	0.1632678210735321
29	camera_NOUN	0.2490339279174805	0.3856736123561859	0.27728772163391113	0.19331690669059756
30	carrot_NOUN	0.41919583082199097	0.6003228425979614	0.5480789542198181	0.2133625447750092
31	carton_NOUN	0.3434562087059021	0.4165029525756836	0.41014426946640015	0.14494431018829346
32	cauliflower_NOUN	0.4993001818656922	0.6767265796661377	0.6496545076370239	0.21403107047080994
33	chimney_NOUN	0.32572752237319946	0.3983898758888245	0.3514103889465332	0.18324610590934756
34	clock_NOUN	0.22799237072467804	0.25927284359931946	0.22731295228004456	0.16404488682746887
35	cobra_NOUN	0.4477651119232178	0.26593655347824097	0.42022186517715454	0.15586094558238986
36	cookie_NOUN	0.3466525077819824	0.469278484582901	0.4431137442588806	0.1776745766401291
37	crawfish_NOUN	0.6038872003555298	0.5205780863761902	0.6316736936569214	0.20926816761493686
38	cup_NOUN	0.2907785177230835	0.37038692831993103	0.3426434695720673	0.12885908782482147
39	cupcake_NOUN	0.3303627967834473	0.4415510296821594	0.4101115167140961	0.2020508348941803
40	dandelion_NOUN	0.4639999270439148	0.5455127954483032	0.5138738751411438	0.2381009161472321
41	deodorant_NOUN	0.24903421103954315	0.33891797065734863	0.318203866481781	0.1964053362607956
42	doll_NOUN	0.3977147936820984	0.411752849817276	0.4126256108283997	0.20086315274238584
43	donkey_NOUN	0.5216902494430542	0.3216027319431305	0.4732064604759216	0.1850273758172989
44	doorstep_NOUN	0.2151075303554535	0.230862095952034	0.22036013007164	0.20571669936180115
45	dustpan_NOUN	0.3170093595981598	0.4400106370449066	0.3991217613220215	0.19833798706531525
46	eagle_NOUN	0.4860428869724274	0.28536978363990784	0.4673237800598145	0.15745769441127774
47	ear_NOUN	0.35415297746658325	0.3424431681632996	0.3466235101222992	0.2492474615573883
48	eggnog_NOUN	0.35894325375556946	0.4337972104549408	0.4285414218902588	0.21806564927101132
49	elbow_NOUN	0.21246036887168884	0.28057271242141724	0.2597244381904602	0.20947985351085666
50	elephant_NOUN	0.5908313989639282	0.30878356099128723	0.5423811674118042	0.1755354106426239
51	escalator_NOUN	0.21178872883319852	0.3286851942539215	0.29087233543396	0.1514994353055954
52	eyedropper_NOUN	0.4273051619529724	0.46832674741745	0.4590848982334137	0.2337991744279861
53	eyelash_NOUN	0.29439112544059753	0.34972986578941345	0.3323685824871063	0.22154924273490906
54	eyelid_NOUN	0.25989001989364624	0.3338708281517029	0.29485198855400085	0.21535801887512207
55	fern_NOUN	0.4790081083774567	0.4922892153263092	0.48652529716491705	0.1940063089132309
56	finger_NOUN	0.22419807314872744	0.299678772687912	0.25613057613372797	0.2507132291793823
57	fish_NOUN	0.6516565084457397	0.4454986155033112	0.6173339486122131	0.16497640311717987
58	flashlight_NOUN	0.285012423992157	0.4570254683494568	0.3735252916812897	0.16428810358047485
59	flower_NOUN	0.3700050115585327	0.5602186918258667	0.4787989556789398	0.1962878406047821
60	flute_NOUN	0.3269394040107727	0.5082706809043884	0.4608355462551117	0.2198818176984787
61	frog_NOUN	0.6492612957954407	0.3812766075134277	0.6144388318061829	0.1920785456895828
62	goat_NOUN	0.6732736825942993	0.4469601511955261	0.6403766870498657	0.20185962319374084
63	granite_NOUN	0.30283647775650024	0.3744542598724365	0.34676823019981384	0.2002737820148468
64	grape_NOUN	0.3930649757385254	0.5333471298217773	0.4872103333473206	0.1811094880104065
65	gravel_NOUN	0.3552321493625641	0.3727518320083618	0.3736599087715149	0.1894724816083908
66	greyhound_NOUN	0.4741838574409485	0.29102569818496704	0.4182395935058594	0.16610978543758392
67	guardrail_NOUN	0.2264126539230347	0.329240083694458	0.2935557961463928	0.18551650643348694
68	hamburger_NOUN	0.4425888955593109	0.4105883240699768	0.4622892737388611	0.17470139265060425
69	handgun_NOUN	0.2179122269153595	0.2978556752204895	0.24101953208446505	0.15974776446819305
70	handkerchief_NOUN	0.2903433442115784	0.4725712835788727	0.3891053795814514	0.2259369641542435
71	handsaw_NOUN	0.3522986471652985	0.4263690412044525	0.4029076099395752	0.23831696808338165
72	headband_NOUN	0.24998681247234344	0.4583398699760437	0.3668351173400879	0.23003609478473666
73	horn_NOUN	0.3301286101341248	0.37514203786849976	0.3797134757041931	0.18487735092639926
74	horse_NOUN	0.5711028575897217	0.32331782579422	0.4697369635105133	0.1593206822872162
75	horseshoe_NOUN	0.34313732385635376	0.405489057302475	0.3898540139198303	0.2033950537443161
76	hotdog_NOUN	0.3648107647895813	0.3677850067615509	0.38920629024505615	0.1847730576992035
77	house_NOUN	0.24932420253753665	0.3298978805541992	0.28400155901908875	0.15192319452762604
78	hubcap_NOUN	0.2960542738437653	0.3979746699333191	0.35691455006599426	0.1944928914308548
79	icepack_NOUN	0.33713454008102417	0.3688172698020935	0.3616175055503845	0.20687565207481384
80	jar_NOUN	0.3639196455478668	0.4776695370674133	0.4466131627559662	0.17263218760490415
81	jeans_NOUN	0.2721157073974609	0.5240140557289124	0.4343478083610535	0.21037685871124268
82	ketchup_NOUN	0.4089811444282532	0.4922179281711578	0.4961423873901367	0.19962188601493835
83	kite_NOUN	0.34001055359840393	0.3949304223060608	0.3784130215644837	0.15141983330249786
84	knee_NOUN	0.19819733500480646	0.2467987090349197	0.22783954441547394	0.16899999976158142
85	ladder_NOUN	0.20520178973674771	0.2850481867790222	0.2596479058265686	0.2028413563966751
86	lantern_NOUN	0.3473453521728516	0.496880441904068	0.3955522179603577	0.1861281991004944
87	leaf_NOUN	0.4061739444732666	0.5296434760093689	0.4963823258876801	0.1960066854953766
88	lemon_NOUN	0.4176206588745117	0.5863133668899536	0.5409505367279053	0.17633667588233948
89	leopard_NOUN	0.5285650491714478	0.31247326731681824	0.4791056513786316	0.1644599437713623
90	lightbulb_NOUN	0.2435001879930496	0.3783144354820252	0.33777332305908203	0.18452952802181244
